Client_Num,customer_name,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,address,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,contact_number,Customer_Job,Income,Cust_Satisfaction_Score
963607849,Christina Berry,42,F,3,Uneducated,Married,CA,"2982 Amy Highway, Muellerland, UT 13122",91750,no,no,yes,cellular,19898104356,Govt,30574,1
932954954,Brandi Duarte,62,F,0,High School,Unknown,NY,"68671 Jade Fort Apt. 457, Mariahaven, NY 23902",91750,yes,no,no,cellular,19428158285,Selfemployeed,57679,2
961650885,Brett Blanchard PhD,47,F,3,Doctorate,Married,NJ,"407 Michelle Haven, Harrisstad, CO 73190",91750,no,no,no,unknown,18936348574,Blue-collar,152263,1
917695309,Charles Walsh,49,M,5,Graduate,Married,TX,"32745 Green Causeway, South Sabrina, UT 71569",91750,no,no,no,cellular,18107616778,Businessman,43653,4
957309271,Mark Hebert,53,F,3,Graduate,Married,NY,"378 Rhonda Gardens, North Elizabethmouth, AL 79077",91750,no,no,no,cellular,19142305477,Selfemployeed,47883,2
967838008,Daniel Norris,47,F,4,Post-Graduate,Single,TX,"31370 Sheryl Manor, South Edwinfort, SC 46397",91750,no,yes,no,cellular,11262295474,Selfemployeed,52038,1
953057861,Jeffrey Curry,42,F,4,High School,Married,CA,"54061 Andrew Locks, Lake Toniton, KY 12245",91750,yes,no,no,cellular,18868002726,White-collar,75239,3
945043270,Samuel Porter,40,F,4,Graduate,Married,FL,"1643 Patricia Ville, Sarashire, NE 07896",91750,no,no,no,unknown,13219614208,Businessman,32035,5
947028265,Christopher Daniels,45,F,3,Graduate,Married,TX,"0263 Reese Crest Suite 805, Thompsontown, MS 77215",91750,yes,yes,no,cellular,19073938139,Retirees,40270,3
949911663,Laurie Winters,54,F,3,Uneducated,Married,CA,"966 John Route, Port David, CT 58345",91750,no,no,no,cellular,11807110362,Businessman,55396,4
943996401,Dustin Briggs,51,F,1,Doctorate,Married,NV,"30422 Harvey Rapid, Snowberg, WY 15381",91750,no,yes,no,unknown,19884496914,Selfemployeed,194975,5
929315398,Johnny Henson,31,M,1,Graduate,Single,CA,"554 Stephanie Flat, Port Johnview, NH 09458",91750,no,no,no,telephone,11766113807,Selfemployeed,45468,5
943593234,Rickey Gonzalez,37,M,3,Graduate,Married,FL,"USS Jimenez, FPO AP 88402",91750,no,yes,no,cellular,18071054522,Businessman,107421,5
934327500,Karen Smith,60,F,1,Graduate,Single,NY,"4568 Walters Estate Suite 037, Lake Jacquelinebury, NH 59816",91750,yes,no,no,cellular,14209158446,Selfemployeed,38459,4
911454729,Kimberly Harrell,46,F,4,Graduate,Single,CA,"065 Christopher Centers Apt. 584, Leefort, VA 76772",91750,yes,no,no,cellular,17569182591,Businessman,55057,4
935287245,Brandon Mckinney,42,M,4,Graduate,Single,TX,"3299 Ortiz Ferry Apt. 110, New Craig, MA 20647",91750,no,no,no,cellular,19789038938,Govt,58212,5
