Client_Num,customer_name,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,address,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,contact_number,Customer_Job,Income,Cust_Satisfaction_Score
708082083,Linda Cook,24,F,1,Uneducated,Single,FL,"92986 Oscar Haven, East Amy, DC 83889",91750,no,yes,no,unknown,19196439297,Businessman,202326,3
708083283,Mary Rogers,62,F,0,Unknown,Married,NJ,"0888 Miranda Park Apt. 957, Walkerberg, NM 35377",91750,no,no,no,cellular,16217017230,Selfemployeed,5225,2
708084558,Paul Hopkins,32,F,1,Unknown,Married,NJ,"686 Sanchez Crossing, Angelahaven, WI 66786",91750,yes,no,no,unknown,10718357745,Selfemployeed,14235,2
708085458,Jennifer Hurst,38,M,2,Uneducated,Single,NY,"5319 Koch Shore, West Douglasbury, AR 54917",91750,no,no,no,cellular,17682104415,Blue-collar,45683,1
708086958,Sarah Carr,48,M,4,Graduate,Single,TX,"065 Hicks Stravenue Apt. 862, East Jenniferstad, OH 29198",91750,yes,yes,no,cellular,14515231366,Businessman,59279,1
708095133,Jamie Castro,33,F,1,High School,Single,NY,"93120 Bridges Branch, Paigeside, CT 20806",91750,no,yes,no,cellular,12479181637,Selfemployeed,14254,3
708098133,Danielle Leblanc,34,F,3,Graduate,Single,CA,"8017 Jennifer Ferry Apt. 700, Port Stephaniebury, VA 52396",91750,yes,no,no,telephone,16801739996,Selfemployeed,14975,2
708099183,Kent White,34,F,2,Uneducated,Single,CA,"60498 Tyler Crossing, Lake Johnberg, FL 90681",91750,no,no,no,cellular,19447977446,Retirees,31982,2
708100533,Kenneth Scott,48,M,2,High School,Married,NJ,"6815 Kelly Heights Apt. 840, Salasmouth, CO 29788",91750,yes,no,no,telephone,19117801910,Businessman,86668,2
708103608,Kathryn Davis,53,F,1,Graduate,Married,NJ,"718 Shawn Causeway, North Stephanie, SC 84069",91750,yes,yes,no,cellular,15912226152,Businessman,223196,1
708104658,Jennifer Williamson,31,F,0,Post-Graduate,Single,CA,"3750 Andrew Loaf Suite 128, New Jerryport, WY 26656",91750,no,yes,no,telephone,19802919368,Businessman,33625,2
708108333,Victoria Jackson,34,F,4,Graduate,Single,NY,"53088 Catherine Fork, Lake Tiffany, MO 62068",91750,no,no,no,cellular,10173725830,Selfemployeed,14975,3
708112008,Suzanne Johns,51,F,2,Graduate,Single,NJ,"72774 Jesse Island Apt. 321, Port David, ND 54740",91750,yes,yes,no,cellular,14231001401,Selfemployeed,14975,2
708113208,Dana Johnson DDS,36,M,1,High School,Single,NJ,"33074 Rivers Islands, Rogersport, FL 33751",91750,yes,no,no,telephone,15309823187,White-collar,59416,3
708117933,Tiffany Oliver,49,F,4,Graduate,Married,CA,"164 Janet Expressway Suite 702, Ritterland, TN 91141",91750,no,yes,no,unknown,11277537144,Retirees,28122,1
708119658,Lorraine Garcia,53,F,2,Graduate,Single,FL,"270 Stacey Gateway Apt. 697, South Kellyfort, PA 60622",91750,yes,no,no,cellular,12212418082,Govt,29021,1
708121908,Douglas Tucker,49,F,1,Graduate,Married,TX,"872 Leslie Neck, West Sally, GA 65237",91750,no,no,no,unknown,16257681786,Selfemployeed,20632,3
708123033,Denise Finley,47,F,5,Graduate,Married,FL,"010 Summers Lights, Lindseyberg, IL 58380",91750,no,no,no,cellular,19677575878,Businessman,172101,2
708125733,Jason Chapman,43,F,4,Graduate,Single,FL,"1513 Hawkins Manor, New Alexis, DC 78875",91750,no,no,no,cellular,19396228751,Retirees,57168,2
708128733,Melissa Porter,47,M,3,Graduate,Married,NY,"09738 Christopher Hill, Christianberg, NY 71440",91750,no,no,no,cellular,10907759690,Govt,89954,2
708129933,David Mcguire,34,F,3,Uneducated,Single,TX,"PSC 0942, Box 8696, APO AA 45687",91750,yes,yes,yes,telephone,18733342411,Blue-collar,53762,1
708132783,Peter Lewis,37,F,5,Unknown,Married,NJ,"0387 Butler Throughway Suite 818, Williamsburgh, NC 79994",91750,yes,yes,no,cellular,16362469938,Selfemployeed,45476,3
708134283,Susan Patterson,63,M,0,Graduate,Single,TX,"51494 Whitney Lakes Apt. 567, Kentfurt, RI 16732",91750,yes,yes,yes,cellular,12367129316,Selfemployeed,14975,2
708136908,Ryan Taylor Jr.,55,M,2,Doctorate,Married,MO,"2332 Matthew Junctions Apt. 283, West Stacyhaven, NE 36664",91750,yes,yes,no,cellular,19985217785,Retirees,72878,2
708139833,Jessica Sims,38,F,1,Unknown,Single,NY,"66012 Tyler Road, Reedland, IN 73404",91750,no,no,no,cellular,14248898772,Businessman,25667,3
708145908,Joyce Rose,40,M,3,Graduate,Single,MA,"87123 Rebecca Drive, Stephanieport, SC 85449",91750,no,yes,no,cellular,18602313284,Blue-collar,47224,1
708147108,Michael Gutierrez,55,F,0,Graduate,Single,NY,"216 Underwood Mission, South Stevenfort, VT 62081",91750,yes,no,no,unknown,11058767057,White-collar,25341,2
708148158,Mackenzie Cummings,33,M,2,Doctorate,Single,NY,"923 Smith Key Apt. 776, North Matthew, IA 95966",91750,no,yes,yes,cellular,16501197456,Blue-collar,53644,3
708151008,Seth Miller,54,F,1,Uneducated,Married,CA,"899 Patrick View, South Jeffrey, NJ 80259",91750,no,yes,no,cellular,16314676238,Govt,27423,2
708152358,Gabriel Anderson,46,M,3,Graduate,Married,NY,"732 Taylor Hill, Lake Micheal, AL 21038",91750,yes,yes,no,cellular,16426550772,Blue-collar,110014,2
708153558,Angela Miller,44,M,4,Graduate,Unknown,IA,"Unit 3619 Box 6396, DPO AE 11854",91750,no,no,no,telephone,17589757891,Businessman,109186,3
708154833,Vanessa Gregory,40,F,3,Graduate,Married,NJ,"7061 Christopher Groves, North Johnburgh, NY 96291",91750,yes,yes,no,cellular,14543903919,Govt,25835,2
708155733,Guy Gibson,44,F,3,Graduate,Married,CA,"3707 Suarez Radial, Shannonside, UT 16692",91750,yes,yes,no,unknown,14015725978,Selfemployeed,11345,2
708158133,Michael Mayer,51,F,2,Uneducated,Single,NY,"242 Hill Via Apt. 478, Lake Christopher, AZ 86034",91750,yes,no,no,cellular,12306643434,Selfemployeed,23215,2
708160008,Mary Rodriguez,60,M,0,Graduate,Single,CA,"6103 Travis Stravenue, Robinsonside, RI 70102",91750,no,no,no,cellular,14169295197,Businessman,103581,3
708161133,Kevin Carter,49,F,2,Unknown,Single,TX,"PSC 0039, Box 8795, APO AP 96754",91750,yes,yes,no,cellular,14340636181,Selfemployeed,44555,3
708162558,Daniel Lopez,43,F,5,Graduate,Married,TX,"83792 Jonathan Port, Lake Lisachester, LA 50268",91750,no,yes,no,cellular,15429847379,Selfemployeed,12381,2
708163758,Jessica Mclaughlin,54,M,1,Graduate,Single,NY,"47117 Pugh Roads, East Stephen, IA 27663",91750,no,yes,no,unknown,10009194782,White-collar,123809,1
708170508,Steven Richardson,32,F,0,Graduate,Married,FL,"2717 Grant Station, New Donaldland, RI 37578",91750,yes,no,no,unknown,17174083929,Selfemployeed,14975,1
708171858,Diane Price,52,F,3,Graduate,Married,NY,"496 Cynthia Passage, Nelsonhaven, WY 79369",91750,no,yes,no,unknown,19379581164,Businessman,30586,1
708173433,Theresa Boyle,43,F,1,Graduate,Single,CA,"2828 Anderson Harbors, North Andrew, MN 35843",91750,no,no,no,unknown,12925643415,Retirees,28367,3
